Date,Timestamp,Open,High,Low,Close,Volume
20040304,12:00:00,6.792,6.833,6.508,6.711,74.50000111
20040304,16:00:00,6.616,6.851,6.564,6.639,45.90000068
20040304,20:00:00,6.612,6.757,6.584,6.629,1.650000025
20040305,0:00:00,6.695,6.743,6.565,6.65,14.50000022
20040305,4:00:00,6.692,6.771,6.573,6.714,30.40000045
20040305,8:00:00,6.566,6.795,6.536,6.715,14.60000022
20040305,12:00:00,6.704,6.943,6.567,6.876,65.90000098
20040305,16:00:00,6.789,6.959,6.669,6.859,46.45000069
20040305,20:00:00,6.906,6.906,6.805,6.845,0.200000003
20040307,20:00:00,6.847,6.848,6.786,6.826,0.200000003
20040308,0:00:00,6.827,6.913,6.762,6.888,20.2000003
20040308,4:00:00,6.867,6.945,6.723,6.897,48.15000072
20040308,8:00:00,6.758,6.915,6.757,6.828,6.750000101
20040308,12:00:00,6.855,7.023,6.684,6.901,57.55000086
20040308,16:00:00,6.821,7.035,6.738,6.865,35.95000054
20040308,20:00:00,6.915,6.962,6.813,6.879,2.350000035
20040309,0:00:00,6.848,7.045,6.789,6.909,24.10000036
20040309,4:00:00,6.965,7.074,6.846,6.944,50.30000075
20040309,8:00:00,6.956,7.053,6.718,6.787,32.55000049
20040309,12:00:00,6.871,7.071,6.74,6.933,62.15000093
20040309,16:00:00,6.908,7.12,6.836,7.054,46.7500007
20040309,20:00:00,7.013,7.128,6.933,7.009,3.500000052
20040310,0:00:00,7.065,7.17,6.962,7.077,25.25000038
20040310,4:00:00,7.073,7.139,6.9,7.047,47.80000071
20040310,8:00:00,7.024,7.16,6.872,7.047,13.5500002
20040310,12:00:00,7.081,7.233,6.899,7.076,81.05000121
20040310,16:00:00,6.96,7.231,6.889,7.045,56.60000084
20040310,20:00:00,7.081,7.081,6.961,7.029,1.750000026
20040311,0:00:00,7.077,7.135,6.908,7.06,24.65000037
20040311,4:00:00,7.017,7.135,6.869,6.93,37.00000055
20040311,8:00:00,7.005,7.122,6.846,7.027,31.35000047
20040311,12:00:00,7.027,7.232,6.908,7.07,70.65000105
20040311,16:00:00,6.963,7.235,6.916,7.065,50.85000076
20040311,20:00:00,7.099,7.146,6.953,6.989,1.650000025
20040312,0:00:00,6.965,7.279,6.943,7.178,32.10000048
20040312,4:00:00,7.157,7.233,7.016,7.197,38.90000058
20040312,8:00:00,7.103,7.235,6.968,7.113,25.30000038
